trip_distance,trip_duration,hora_del_día,es_fin_de_semana,total_amount
0.51,4.45,14,0,5.3
2.3,17.6,14,0,15.95
1.8,6.916666666666667,22,0,10.55
4.2,20.9,19,0,17.8
0.8,4.416666666666667,20,0,7.56
1.42,6.55,12,1,7.8
3.32,14.05,6,0,16.56
2.78,8.85,19,1,10.8
1.1,7.883333333333334,21,0,8.3
0.6,3.2666666666666666,14,0,5.3
0.73,5.133333333333334,19,1,7.56
3.0,13.2,14,1,12.8
0.88,10.583333333333334,14,1,8.8
4.65,25.166666666666668,21,0,20.8
3.7,19.133333333333333,18,0,16.8
2.8,18.9,13,0,18.35
1.13,7.566666666666666,6,0,9.36
1.11,8.066666666666666,20,1,9.96
0.67,5.316666666666666,7,0,7.3
3.7,19.116666666666667,15,0,19.55
1.6,9.35,13,1,10.3
0.62,5.133333333333334,9,0,6.96
0.5,4.833333333333333,15,1,6.95
1.92,8.15,22,0,10.8
5.2,14.55,11,0,18.3
1.0,10.383333333333333,23,0,10.3
1.08,7.216666666666667,11,0,7.3
0.79,5.766666666666667,9,0,5.8
1.67,16.483333333333334,13,0,14.76
1.8,9.683333333333334,11,0,9.3
2.8,19.116666666666667,13,0,17.8
1.14,9.133333333333333,10,0,8.3
1.2,12.183333333333334,9,0,12.7
0.7,11.166666666666666,12,0,8.8
1.87,8.95,0,0,12.74
1.26,8.716666666666667,12,0,10.56
0.6,5.3,12,1,7.5
1.5,9.183333333333334,21,0,10.3
1.0,6.3,13,1,6.8
1.4,9.933333333333334,7,0,10.55
0.6,5.216666666666667,12,0,6.3
2.8,6.966666666666667,3,1,12.96
1.48,16.033333333333335,0,1,14.76
1.13,8.5,14,1,8.3
0.96,9.45,13,0,9.0
0.6,8.75,11,0,9.35
1.4,9.133333333333333,22,0,11.15
0.5,1.4833333333333334,1,1,5.75
1.22,6.616666666666666,10,0,9.12
1.6,10.133333333333333,13,1,9.8
1.0,6.116666666666666,15,1,8.3
0.46,2.183333333333333,11,0,5.52
0.3,1.15,8,0,3.8
0.67,6.7,15,0,7.8
1.98,15.483333333333333,17,0,13.3
1.0,6.516666666666667,12,0,6.8
0.8,7.866666666666666,14,1,9.3
0.6,3.9833333333333334,12,0,5.3
0.53,4.35,1,1,7.88
1.19,12.683333333333334,15,0,11.76
0.79,13.433333333333334,13,1,12.36
1.46,10.766666666666667,23,0,10.3
5.12,28.966666666666665,21,0,22.3
0.79,5.233333333333333,11,0,6.3
2.2,12.883333333333333,12,1,11.3
1.3,12.75,20,0,10.8
1.8,12.35,18,1,10.8
4.87,26.516666666666666,18,0,24.53
1.9,21.066666666666666,10,0,16.3
1.1,4.7,5,0,7.3
1.01,10.5,8,0,8.8
3.3,19.483333333333334,17,1,16.3
0.92,5.0,16,0,8.4
1.21,15.216666666666667,18,0,14.76
2.4,11.7,19,0,15.38
1.2,11.5,11,0,11.15
2.4,9.766666666666667,22,0,13.3
0.5,3.55,5,0,6.95
1.5,14.816666666666666,8,0,12.55
0.6,4.683333333333334,11,0,7.3
1.7,19.016666666666666,14,0,13.8
1.3,28.616666666666667,17,1,21.35
1.75,11.35,11,0,12.36
1.3,7.916666666666667,8,0,9.8
3.0,20.266666666666666,16,0,20.15
1.89,18.3,10,0,16.56
2.1,11.75,2,0,14.15
1.62,20.083333333333332,15,1,13.3
0.79,5.783333333333333,18,0,8.76
0.98,6.066666666666666,11,1,8.5
1.9,12.383333333333333,18,0,11.8
3.6,11.216666666666667,10,0,16.55
1.25,18.816666666666666,15,0,16.64
1.4,3.6333333333333333,23,0,8.75
2.4,9.9,0,1,12.95
3.11,13.85,0,1,17.16
2.8,7.233333333333333,12,1,12.36
1.0,5.283333333333333,20,0,8.3
4.02,25.766666666666666,23,0,23.76
1.27,6.666666666666667,8,0,8.76
1.5,7.683333333333334,22,1,8.8
0.9,9.55,16,0,9.3
1.3,6.766666666666667,23,0,9.36
2.93,13.9,22,0,13.3
0.67,6.85,23,0,6.8
1.4,19.95,12,0,13.8
1.6,7.266666666666667,11,1,8.8
1.0,8.633333333333333,18,0,8.8
1.0,5.216666666666667,21,1,7.3
2.54,14.833333333333334,20,1,15.96
1.0,5.383333333333334,18,0,9.75
1.46,10.2,9,0,9.3
6.0,17.683333333333334,4,1,21.3
0.0,0.0,7,0,8.8
1.18,4.383333333333334,21,0,9.49
1.53,19.216666666666665,18,0,15.8
1.23,8.766666666666667,17,0,12.3
0.68,3.466666666666667,21,0,5.8
2.05,14.266666666666667,14,0,11.8
0.92,13.8,12,0,11.8
0.8,3.7,6,0,6.8
1.4,13.966666666666667,9,0,13.0
0.76,7.633333333333334,12,0,8.76
1.13,7.45,15,0,8.76
3.2,13.633333333333333,11,1,13.3
0.58,10.583333333333334,9,0,9.96
1.39,5.866666666666666,10,1,9.36
2.7,19.616666666666667,15,0,17.3
1.18,7.383333333333334,10,0,7.8
1.11,19.516666666666666,15,0,13.3
0.9,5.133333333333334,20,1,7.8
0.9,2.933333333333333,10,1,6.95
1.15,12.1,13,1,12.25
0.8,10.5,18,0,11.76
1.5,11.083333333333334,17,0,10.8
1.19,2.816666666666667,2,0,7.56
0.11,2.433333333333333,4,0,4.8
0.5,15.45,15,0,11.8
0.96,4.933333333333334,23,0,8.3
0.95,9.766666666666667,19,1,9.96
1.2,8.45,13,1,8.3
2.0,21.483333333333334,15,1,14.8
3.0,18.283333333333335,7,0,16.3
1.26,6.716666666666667,11,1,8.76
2.82,20.3,13,0,15.3
2.4,12.783333333333333,23,0,14.15
3.28,9.883333333333333,8,0,12.8
0.42,7.183333333333334,10,1,7.8
6.1,14.133333333333333,22,1,23.75
1.52,9.0,20,0,9.3
2.9,13.65,12,0,15.95
0.8,9.133333333333333,14,0,9.75
0.7,3.966666666666667,20,1,6.6
2.4,9.683333333333334,20,1,13.56
0.47,6.616666666666666,14,0,8.84
2.71,10.866666666666667,19,0,12.8
4.2,11.2,2,0,15.3
1.29,10.283333333333333,19,1,11.0
0.7,4.266666666666667,10,1,7.25
1.71,17.533333333333335,23,1,15.8
1.7,8.183333333333334,21,0,9.3
3.51,23.116666666666667,11,1,17.3
1.0,5.233333333333333,12,0,7.55
1.33,16.9,10,0,12.3
0.5,3.716666666666667,10,0,5.3
1.26,6.016666666666667,4,1,7.8
0.75,4.433333333333334,13,1,6.3
0.6,3.1166666666666667,6,0,6.09
5.35,22.366666666666667,23,0,24.3
1.9,8.233333333333333,12,1,8.8
3.44,17.35,14,1,18.96
4.3,21.483333333333334,20,0,19.3
1.7,10.633333333333333,21,0,11.56
0.5,6.45,15,0,6.8
0.9,5.3,1,1,9.1
0.6,3.4833333333333334,10,0,6.35
0.4,4.85,14,0,10.8
1.3,5.333333333333333,2,1,7.8
1.67,5.866666666666666,0,0,8.3
1.7,16.066666666666666,19,1,14.75
1.36,5.05,7,1,9.12
1.4,10.833333333333334,11,0,9.3
0.4,1.25,20,1,6.3
